S (measured),Applied Suction (kPa)
1,0
0.977734375,0
0.956359375,0
0.95309375,0.07848
0.950421875,0.26487
0.960367188,0.41202
0.965117188,0.76518
0.945820313,1.46169
0.795453125,3.01167
0.614953125,3.91419
0.483140625,4.86576
0.437125,5.93505
0.417234375,6.94548
0.365429688,9.9081
0.3243125,19.92411
