S (measured),Applied Suction (kPa)
1,0
0.994962121,0
0.951060606,0
0.929181818,0.08829
0.92875,0.1962
0.937098485,0.41202
0.940984848,0.82404
0.932780303,1.4715
0.726371212,3.09015
0.497075758,3.94362
0.359037879,4.89519
0.328666667,5.91543
0.287643939,10.15335
0.265333333,19.66905
0.259287879,28.72368
0.256409091,28.72368
