S (measured),Applied Suction (kPa)
1,0
0.998689655,0
0.944048276,0.05886
0.946668966,0.13734
0.95177931,0.22563
0.963310345,0.40221
0.9582,0.77499
0.937365517,1.48131
0.738717241,3.03129
0.738717241,3.03129
0.512158621,3.93381
0.466689655,3.85533
0.303289655,9.83943
0.2704,19.68867
0.2704,19.68867
0.201868966,33.07932
0.201868966,33.07932
